DATE,CCLACBW027SBOG
2000-06-28,211.4984
2000-07-05,212.0107
2000-07-12,210.8742
2000-07-19,212.5366
2000-07-26,211.7712
2000-08-02,212.5423
2000-08-09,214.6492
2000-08-16,218.6431
2000-08-23,220.3889
2000-08-30,219.1233
2000-09-06,220.1197
2000-09-13,219.4888
2000-09-20,225.9752
2000-09-27,224.664
2000-10-04,220.46
2000-10-11,219.145
2000-10-18,221.8927
2000-10-25,221.2507
2000-11-01,219.8374
2000-11-08,217.4494
2000-11-15,222.4858
2000-11-22,224.131
2000-11-29,225.6892
2000-12-06,223.6101
2000-12-13,223.9192
2000-12-20,229.3229
2000-12-27,232.339
2001-01-03,232.3454
2001-01-10,229.4002
2001-01-17,231.6808
2001-01-24,231.9379
2001-01-31,229.7355
2001-02-07,227.6998
2001-02-14,230.6706
2001-02-21,231.5363
2001-02-28,228.1031
2001-03-07,227.0606
2001-03-14,227.2796
2001-03-21,228.079
2001-03-28,229.8791
2001-04-04,228.9709
2001-04-11,229.7522
2001-04-18,233.1526
2001-04-25,234.1644
2001-05-02,234.7622
2001-05-09,232.9296
2001-05-16,236.7547
2001-05-23,237.6438
2001-05-30,235.7629
2001-06-06,234.1915
2001-06-13,232.3152
2001-06-20,233.0892
2001-06-27,234.8482
2001-07-04,230.7847
2001-07-11,230.1832
2001-07-18,232.2506
2001-07-25,234.0328
2001-08-01,231.8195
2001-08-08,231.1736
2001-08-15,233.8505
2001-08-22,236.3133
2001-08-29,234.159
2001-09-05,233.5774
2001-09-12,232.1899
2001-09-19,235.7845
2001-09-26,231.81
2001-10-03,230.0916
2001-10-10,228.4123
2001-10-17,235.1895
2001-10-24,235.9086
2001-10-31,235.693
2001-11-07,236.1263
2001-11-14,236.3417
2001-11-21,241.1427
2001-11-28,242.9481
2001-12-05,239.5476
2001-12-12,240.5021
2001-12-19,241.6516
2001-12-26,245.0581
2002-01-02,241.4346
2002-01-09,241.5731
2002-01-16,241.3423
2002-01-23,241.8169
2002-01-30,239.9458
2002-02-06,242.6173
2002-02-13,237.2184
2002-02-20,241.1898
2002-02-27,241.6285
2002-03-06,240.3046
2002-03-13,236.8915
2002-03-20,241.535
2002-03-27,242.5502
2002-04-03,240.9116
2002-04-10,241.3675
2002-04-17,248.9059
2002-04-24,249.8247
2002-05-01,245.6854
2002-05-08,245.228
2002-05-15,246.2915
2002-05-22,243.4013
2002-05-29,246.0711
2002-06-05,240.7755
2002-06-12,241.3916
2002-06-19,248.0665
2002-06-26,245.8208
2002-07-03,237.2371
2002-07-10,236.3411
2002-07-17,240.2592
2002-07-24,241.9898
2002-07-31,242.8209
2002-08-07,244.0292
2002-08-14,247.1067
2002-08-21,251.6958
2002-08-28,254.3876
2002-09-04,254.5396
2002-09-11,253.8347
2002-09-18,257.4655
2002-09-25,256.331
2002-10-02,254.6654
2002-10-09,252.3358
2002-10-16,257.7332
2002-10-23,257.2301
2002-10-30,256.2522
2002-11-06,251.4088
2002-11-13,250.9941
2002-11-20,252.3226
2002-11-27,253.3538
2002-12-04,252.2521
2002-12-11,254.3978
2002-12-18,257.1502
2002-12-25,255.9614
2003-01-01,253.274
2003-01-08,252.4452
2003-01-15,251.6666
2003-01-22,252.4353
2003-01-29,249.557
2003-02-05,244.3587
2003-02-12,244.5283
2003-02-19,249.3898
2003-02-26,249.4111
2003-03-05,246.2487
2003-03-12,241.7437
2003-03-19,246.4644
2003-03-26,243.345
2003-04-02,240.9132
2003-04-09,239.2987
2003-04-16,239.5046
2003-04-23,240.3989
2003-04-30,240.3699
2003-05-07,245.6796
2003-05-14,247.8084
2003-05-21,248.967
2003-05-28,252.5236
2003-06-04,244.6581
2003-06-11,244.5096
2003-06-18,247.8318
2003-06-25,244.1517
2003-07-02,244.672
2003-07-09,243.2336
2003-07-16,245.7678
2003-07-23,246.748
2003-07-30,248.7771
2003-08-06,243.8042
2003-08-13,244.5172
2003-08-20,247.5487
2003-08-27,246.6174
2003-09-03,244.685
2003-09-10,243.8211
2003-09-17,246.1461
2003-09-24,244.5174
2003-10-01,240.6524
2003-10-08,238.5369
2003-10-15,240.8817
2003-10-22,239.5542
2003-10-29,240.1412
2003-11-05,267.277
2003-11-12,269.6885
2003-11-19,274.5466
2003-11-26,272.5726
2003-12-03,270.65
2003-12-10,271.8044
2003-12-17,283.9666
2003-12-24,287.0989
2003-12-31,284.7938
2004-01-07,284.1157
2004-01-14,282.7273
2004-01-21,284.7187
2004-01-28,283.3791
2004-02-04,279.2664
2004-02-11,278.4859
2004-02-18,285.6153
2004-02-25,283.9511
2004-03-03,278.2917
2004-03-10,277.4836
2004-03-17,279.6773
2004-03-24,282.4459
2004-03-31,279.0058
2004-04-07,279.647
2004-04-14,281.092
2004-04-21,281.2872
2004-04-28,282.7452
2004-05-05,281.1973
2004-05-12,280.6714
2004-05-19,287.8836
2004-05-26,287.8563
2004-06-02,287.1894
2004-06-09,287.1507
2004-06-16,287.9116
2004-06-23,289.6804
2004-06-30,285.4239
2004-07-07,286.3993
2004-07-14,287.0368
2004-07-21,289.5743
2004-07-28,289.2957
2004-08-04,287.4565
2004-08-11,286.6735
2004-08-18,291.5586
2004-08-25,294.1706
2004-09-01,292.2673
2004-09-08,291.8469
2004-09-15,295.691
2004-09-22,296.6482
2004-09-29,293.3013
2004-10-06,291.4827
2004-10-13,288.597
2004-10-20,292.734
2004-10-27,291.9292
2004-11-03,291.0063
2004-11-10,286.7816
2004-11-17,287.368
2004-11-24,287.3837
2004-12-01,286.7954
2004-12-08,287.7563
2004-12-15,291.1292
2004-12-22,297.042
2004-12-29,308.435
2005-01-05,308.9685
2005-01-12,305.7304
2005-01-19,303.9602
2005-01-26,302.7546
2005-02-02,297.7822
2005-02-09,294.1446
2005-02-16,301.2432
2005-02-23,301.2845
2005-03-02,301.1227
2005-03-09,298.4169
2005-03-16,300.2201
2005-03-23,299.7421
2005-03-30,300.3104
2005-04-06,299.8348
2005-04-13,298.3683
2005-04-20,303.4172
2005-04-27,304.1807
2005-05-04,299.6105
2005-05-11,297.2184
2005-05-18,300.9447
2005-05-25,299.7939
2005-06-01,298.4643
2005-06-08,299.0217
2005-06-15,302.1464
2005-06-22,304.3738
2005-06-29,301.8531
2005-07-06,300.7341
2005-07-13,300.6094
2005-07-20,304.3632
2005-07-27,304.7615
2005-08-03,301.8342
2005-08-10,301.382
2005-08-17,302.8264
2005-08-24,303.1515
2005-08-31,300.7697
2005-09-07,300.9101
2005-09-14,305.4727
2005-09-21,306.2758
2005-09-28,306.0635
2005-10-05,294.8536
2005-10-12,293.4346
2005-10-19,295.5253
2005-10-26,298.0806
2005-11-02,299.6279
2005-11-09,297.6837
2005-11-16,301.8578
2005-11-23,301.7689
2005-11-30,299.2098
2005-12-07,298.1935
2005-12-14,304.5007
2005-12-21,303.8899
2005-12-28,305.4242
2006-01-04,303.2975
2006-01-11,300.9688
2006-01-18,304.7502
2006-01-25,304.081
2006-02-01,297.6566
2006-02-08,296.3824
2006-02-15,298.0134
2006-02-22,296.693
2006-03-01,293.2202
2006-03-08,291.2856
2006-03-15,290.9685
2006-03-22,293.6107
2006-03-29,293.0203
2006-04-05,289.9892
2006-04-12,293.4309
2006-04-19,295.9668
2006-04-26,298.3909
2006-05-03,297.0099
2006-05-10,298.0092
2006-05-17,303.8037
2006-05-24,304.5952
2006-05-31,301.9582
2006-06-07,298.5964
2006-06-14,301.832
2006-06-21,296.449
2006-06-28,296.7061
2006-07-05,297.7443
2006-07-12,296.0341
2006-07-19,303.0132
2006-07-26,302.3806
2006-08-02,299.9086
2006-08-09,300.6458
2006-08-16,304.1316
2006-08-23,306.6701
2006-08-30,304.2884
2006-09-06,304.5793
2006-09-13,303.4847
2006-09-20,304.7237
2006-09-27,303.5749
2006-10-04,301.0269
2006-10-11,300.8483
2006-10-18,300.7204
2006-10-25,300.2134
2006-11-01,300.5337
2006-11-08,300.8092
2006-11-15,302.8739
2006-11-22,304.1682
2006-11-29,305.6014
2006-12-06,307.9759
2006-12-13,311.8157
2006-12-20,313.0785
2006-12-27,315.7121
2007-01-03,315.023
2007-01-10,314.7897
2007-01-17,316.8441
2007-01-24,317.8423
2007-01-31,311.9349
2007-02-07,311.3111
2007-02-14,315.0468
2007-02-21,311.846
2007-02-28,302.8572
2007-03-07,303.0849
2007-03-14,301.9279
2007-03-21,303.8234
2007-03-28,302.3535
2007-04-04,304.5589
2007-04-11,305.8606
2007-04-18,309.0094
2007-04-25,310.2778
2007-05-02,308.9511
2007-05-09,308.5874
2007-05-16,310.8032
2007-05-23,310.8154
